2016-10-11 14:42:04 upgrade base-files:i386 7.2ubuntu5 7.2ubuntu5
2016-10-11 14:42:04 status half-configured base-files:i386 7.2ubuntu5
2016-10-11 14:42:04 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:04 status half-installed base-files:i386 7.2ubuntu5
2016-10-11 14:42:04 status half-installed base-files:i386 7.2ubuntu5
2016-10-11 14:42:04 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:04 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:04 upgrade base-passwd:i386 3.5.33 3.5.33
2016-10-11 14:42:04 status half-configured base-passwd:i386 3.5.33
2016-10-11 14:42:04 status unpacked base-passwd:i386 3.5.33
2016-10-11 14:42:04 status half-installed base-passwd:i386 3.5.33
2016-10-11 14:42:04 status half-installed base-passwd:i386 3.5.33
2016-10-11 14:42:04 status unpacked base-passwd:i386 3.5.33
2016-10-11 14:42:04 status unpacked base-passwd:i386 3.5.33
2016-10-11 14:42:04 install bash:i386 <none> 4.3-6ubuntu1
2016-10-11 14:42:04 status half-installed bash:i386 4.3-6ubuntu1
2016-10-11 14:42:04 status unpacked bash:i386 4.3-6ubuntu1
2016-10-11 14:42:04 status unpacked bash:i386 4.3-6ubuntu1
2016-10-11 14:42:04 install bsdutils:i386 <none> 1:2.20.1-5.1ubuntu20
2016-10-11 14:42:04 status half-installed bsdutils:i386 1:2.20.1-5.1ubuntu20
2016-10-11 14:42:04 status unpacked bsdutils:i386 1:2.20.1-5.1ubuntu20
2016-10-11 14:42:04 status unpacked bsdutils:i386 1:2.20.1-5.1ubuntu20
2016-10-11 14:42:04 install busybox-initramfs:i386 <none> 1:1.21.0-1ubuntu1
2016-10-11 14:42:04 status half-installed busybox-initramfs:i386 1:1.21.0-1ubuntu1
2016-10-11 14:42:04 status unpacked busybox-initramfs:i386 1:1.21.0-1ubuntu1
2016-10-11 14:42:04 status unpacked busybox-initramfs:i386 1:1.21.0-1ubuntu1
2016-10-11 14:42:04 install coreutils:i386 <none> 8.21-1ubuntu5
2016-10-11 14:42:04 status half-installed coreutils:i386 8.21-1ubuntu5
2016-10-11 14:42:04 status unpacked coreutils:i386 8.21-1ubuntu5
2016-10-11 14:42:04 status unpacked coreutils:i386 8.21-1ubuntu5
2016-10-11 14:42:04 install cpio:i386 <none> 2.11+dfsg-1ubuntu1
2016-10-11 14:42:04 status half-installed cpio:i386 2.11+dfsg-1ubuntu1
2016-10-11 14:42:04 status unpacked cpio:i386 2.11+dfsg-1ubuntu1
2016-10-11 14:42:04 status unpacked cpio:i386 2.11+dfsg-1ubuntu1
2016-10-11 14:42:04 install dash:i386 <none> 0.5.7-4ubuntu1
2016-10-11 14:42:04 status half-installed dash:i386 0.5.7-4ubuntu1
2016-10-11 14:42:04 status unpacked dash:i386 0.5.7-4ubuntu1
2016-10-11 14:42:04 status unpacked dash:i386 0.5.7-4ubuntu1
2016-10-11 14:42:04 upgrade debconf:all 1.5.51ubuntu2 1.5.51ubuntu2
2016-10-11 14:42:04 status half-configured debconf:all 1.5.51ubuntu2
2016-10-11 14:42:05 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:05 status half-installed debconf:all 1.5.51ubuntu2
2016-10-11 14:42:05 status half-installed debconf:all 1.5.51ubuntu2
2016-10-11 14:42:05 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:05 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:05 install debianutils:i386 <none> 4.4
2016-10-11 14:42:05 status half-installed debianutils:i386 4.4
2016-10-11 14:42:05 status unpacked debianutils:i386 4.4
2016-10-11 14:42:05 status unpacked debianutils:i386 4.4
2016-10-11 14:42:05 install diffutils:i386 <none> 1:3.3-1
